EmployeeID,Age,Gender,Department,JobRole,Education,ExperienceYears,MonthlySalary,PerformanceScore,AttendanceRate,Overtime,JobSatisfaction,YearsAtCompany,Attrition
E1001,59,Female,Finance,HR Executive,Bachelor's,16,100874,5,72.96,No,2,8,No
E1002,49,Male,Sales,Sales Executive,High School,0,63346,1,70.82,Yes,1,15,Yes
E1003,35,Male,HR,Operations Manager,High School,4,137138,1,76.65,No,5,14,Yes
E1004,28,Female,Operations,HR Executive,Bachelor's,8,75772,1,97.9,No,4,11,No
E1005,41,Male,HR,Financial Analyst,PhD,17,97084,3,77.01,Yes,5,14,No
E1006,59,Male,Finance,Software Engineer,Master's,20,65149,3,99.58,No,1,12,No
E1007,39,Female,Operations,Software Engineer,PhD,1,111700,3,81.98,No,1,11,No
E1008,43,Male,Marketing,Sales Executive,PhD,10,52526,5,71.27,No,1,0,No
E1009,31,Male,IT,Operations Manager,High School,5,121758,3,96.19,No,1,2,No
E1010,31,Female,Finance,Software Engineer,Master's,7,110712,2,81.11,Yes,2,5,No
E1011,44,Female,Finance,Operations Manager,Master's,3,93477,1,89.84,No,5,7,No
E1012,56,Male,Sales,Operations Manager,PhD,17,30695,5,99.43,No,3,3,No
E1013,44,Male,HR,Sales Executive,Bachelor's,10,64169,1,66.76,No,4,4,No
E1014,23,Female,Finance,Sales Executive,PhD,4,72947,3,68.38,No,1,8,No
E1015,42,Female,Finance,Sales Executive,Bachelor's,14,72224,5,90.22,No,5,5,Yes
E1016,22,Male,Marketing,Software Engineer,Master's,17,70865,4,74.86,Yes,1,11,No
E1017,44,Female,Marketing,Sales Executive,PhD,1,50553,2,71.45,No,1,6,No
E1018,50,Male,Operations,Software Engineer,High School,10,129501,3,66.38,No,1,6,No
E1019,58,Male,IT,Sales Executive,PhD,12,85410,3,65.76,No,1,3,No
E1020,22,Male,Sales,Marketing Specialist,Master's,3,128754,2,92.11,No,1,3,No
E1021,41,Male,IT,Operations Manager,High School,6,115895,2,69.71,No,4,3,Yes
E1022,53,Male,Operations,Sales Executive,High School,10,49816,4,81.37,No,5,13,No
E1023,32,Female,Marketing,HR Executive,Bachelor's,3,80026,3,86.21,Yes,1,14,No
E1024,42,Female,HR,Operations Manager,High School,14,75705,3,79.99,No,1,10,No
E1025,45,Female,Marketing,Operations Manager,High School,0,86922,1,65.95,No,1,4,No
E1026,47,Female,Sales,Sales Executive,PhD,2,140700,5,92.42,No,1,4,No
E1027,48,Male,Marketing,Financial Analyst,Master's,13,98914,5,65.37,No,2,7,No
E1028,36,Male,Sales,Sales Executive,Bachelor's,5,26881,1,91.67,No,2,8,No
E1029,35,Male,Sales,Operations Manager,PhD,17,64567,5,96.27,No,3,1,No
E1030,23,Male,Sales,HR Executive,High School,0,72365,2,80.15,No,1,10,Yes
E1031,57,Female,Operations,Operations Manager,High School,5,104211,5,83.74,No,3,6,No
E1032,27,Male,Sales,HR Executive,Bachelor's,5,95122,5,81.69,No,4,0,Yes
E1033,41,Male,Sales,Software Engineer,Master's,20,50006,1,78.62,No,3,15,Yes
E1034,29,Female,HR,Marketing Specialist,Bachelor's,15,66198,4,96.06,No,5,0,No
E1035,59,Female,IT,Operations Manager,PhD,4,47831,5,96.29,No,2,3,Yes
E1036,38,Female,Finance,Sales Executive,Bachelor's,16,125649,5,76.75,No,2,9,No
E1037,24,Female,IT,Software Engineer,High School,9,41459,4,86.53,No,1,6,No
E1038,45,Male,Sales,Marketing Specialist,PhD,20,57443,1,97.44,No,1,1,No
E1039,34,Male,HR,Sales Executive,High School,17,67316,4,98.67,Yes,4,10,No
E1040,29,Female,Marketing,Financial Analyst,Master's,6,121131,1,82.81,Yes,4,1,Yes
E1041,46,Male,HR,Sales Executive,High School,2,89486,2,80.85,No,5,0,No
E1042,22,Male,Sales,HR Executive,High School,12,30877,1,74.75,No,1,9,No
E1043,40,Male,HR,HR Executive,Bachelor's,14,64553,2,98.56,No,1,1,No
E1044,48,Female,HR,Financial Analyst,High School,19,139137,2,70.0,No,4,12,Yes
E1045,27,Male,Sales,Software Engineer,PhD,18,29922,1,85.29,Yes,4,14,No
E1046,28,Female,Operations,Marketing Specialist,PhD,2,147778,3,74.89,No,4,6,Yes
E1047,55,Male,HR,Sales Executive,Master's,3,142018,1,74.77,No,2,8,No
E1048,34,Male,Finance,HR Executive,PhD,4,29686,5,79.17,No,3,5,No
E1049,37,Male,Finance,Software Engineer,Bachelor's,0,57766,5,99.96,No,3,9,Yes
E1050,56,Female,HR,Financial Analyst,Master's,3,104943,3,66.92,Yes,1,1,No
E1051,24,Male,Operations,Operations Manager,PhD,11,57006,2,85.25,Yes,2,11,No
E1052,22,Female,Marketing,HR Executive,Bachelor's,9,56422,3,67.89,No,4,14,No
E1053,26,Female,Sales,Financial Analyst,PhD,20,141590,5,70.41,No,1,9,No
E1054,24,Female,Finance,Sales Executive,PhD,19,37205,3,80.38,No,2,14,No
E1055,49,Male,Marketing,Marketing Specialist,High School,12,111590,1,82.87,Yes,5,9,No
E1056,38,Male,HR,HR Executive,PhD,13,48527,3,74.06,Yes,2,12,Yes
E1057,46,Male,Marketing,HR Executive,PhD,4,136483,2,76.08,No,1,8,No
E1058,54,Male,IT,Sales Executive,Bachelor's,3,43443,1,68.04,No,3,6,Yes
E1059,30,Female,Finance,Operations Manager,Bachelor's,13,41524,4,75.61,No,4,10,No
E1060,56,Female,HR,Software Engineer,High School,9,141477,5,98.83,Yes,5,0,No
E1061,34,Female,Sales,Marketing Specialist,PhD,16,53202,5,98.06,No,2,11,No
E1062,51,Male,Operations,HR Executive,High School,9,90552,3,76.72,Yes,1,8,No
E1063,35,Female,HR,Marketing Specialist,PhD,6,71142,1,84.98,Yes,1,1,No
E1064,28,Male,Sales,HR Executive,Master's,15,86692,4,96.84,No,4,3,No
E1065,34,Female,Operations,Marketing Specialist,Master's,0,107384,1,65.22,Yes,1,8,No
E1066,43,Male,Operations,Financial Analyst,High School,16,45855,5,93.37,Yes,1,15,No
E1067,41,Male,HR,HR Executive,High School,20,108747,1,98.19,No,4,3,No
E1068,36,Female,Marketing,Marketing Specialist,High School,8,85372,4,68.2,No,5,15,No
E1069,38,Female,Marketing,Software Engineer,Bachelor's,5,50095,3,70.65,No,3,2,Yes
E1070,44,Female,Operations,Financial Analyst,Bachelor's,18,63724,2,98.63,No,3,0,No
E1071,46,Female,Marketing,Financial Analyst,Bachelor's,12,74241,1,83.81,Yes,2,6,No
E1072,45,Male,IT,Software Engineer,High School,2,128119,2,65.5,Yes,5,14,No
E1073,49,Female,Operations,Marketing Specialist,PhD,6,77003,5,74.02,No,2,5,No
E1074,35,Female,Operations,Sales Executive,Master's,8,93379,3,80.75,No,3,9,No
E1075,21,Female,Sales,Software Engineer,High School,4,119837,3,89.25,No,4,15,No
E1076,45,Male,Marketing,Marketing Specialist,Bachelor's,9,116996,1,90.66,Yes,1,3,No
E1077,27,Male,Operations,Software Engineer,Bachelor's,16,122454,3,99.84,No,3,5,No
E1078,29,Female,IT,Software Engineer,High School,11,119283,1,75.06,Yes,5,5,No
E1079,44,Male,Sales,HR Executive,High School,15,40972,1,83.84,No,3,12,No
E1080,21,Female,HR,Marketing Specialist,Bachelor's,2,148805,2,83.67,No,5,15,No
E1081,28,Male,Operations,Sales Executive,PhD,8,118846,3,79.2,No,5,3,No
E1082,44,Male,IT,HR Executive,Bachelor's,14,47927,1,70.92,No,5,13,No
E1083,31,Male,Finance,Software Engineer,Bachelor's,4,145589,2,99.21,No,2,12,No
E1084,37,Male,IT,Operations Manager,High School,12,140657,4,94.87,No,4,5,No
E1085,28,Female,IT,Software Engineer,PhD,13,91630,2,82.44,No,3,9,No
E1086,55,Female,Sales,Software Engineer,Bachelor's,19,129428,2,86.11,Yes,4,10,No
E1087,55,Female,HR,Marketing Specialist,Bachelor's,14,147035,1,72.95,No,1,7,No
E1088,53,Male,Finance,Marketing Specialist,Master's,15,77347,5,84.03,Yes,3,12,No
E1089,25,Female,Marketing,HR Executive,High School,12,124708,5,89.32,No,4,2,No
E1090,59,Female,Marketing,Sales Executive,Master's,16,113860,5,83.03,No,4,3,No
E1091,48,Female,IT,HR Executive,Master's,7,111210,2,99.66,No,1,9,No
E1092,27,Male,Sales,Financial Analyst,Bachelor's,20,94518,1,86.4,No,5,12,No
E1093,29,Male,Sales,Software Engineer,High School,1,70283,3,77.98,Yes,3,11,No
E1094,28,Male,Marketing,Operations Manager,PhD,4,106326,2,92.03,No,3,13,No
E1095,32,Female,Finance,Software Engineer,Bachelor's,5,37205,2,70.97,No,1,14,No
E1096,54,Female,HR,Software Engineer,PhD,11,145243,1,78.46,No,5,0,No
E1097,53,Female,Finance,HR Executive,PhD,17,114874,4,77.14,No,3,3,No
E1098,43,Male,Operations,Operations Manager,High School,0,37748,2,80.11,No,3,10,No
E1099,44,Male,Operations,Operations Manager,Master's,16,46097,4,92.36,No,3,9,No
E1100,57,Female,HR,Operations Manager,High School,10,28092,4,81.95,Yes,5,9,No
E1101,55,Male,Marketing,HR Executive,PhD,9,78311,5,92.79,Yes,1,11,No
E1102,42,Male,HR,Software Engineer,Bachelor's,18,47692,1,85.18,No,3,13,No
E1103,47,Male,Sales,HR Executive,PhD,13,149954,4,76.97,No,4,8,Yes
E1104,55,Male,Operations,Marketing Specialist,Bachelor's,9,48862,1,93.35,No,5,7,No
E1105,21,Female,IT,Marketing Specialist,Bachelor's,14,115396,5,73.34,No,2,10,No
E1106,55,Male,IT,HR Executive,High School,18,104507,1,72.85,No,1,3,No
E1107,57,Male,Marketing,Operations Manager,PhD,3,105152,2,82.66,No,4,11,No
E1108,34,Male,Sales,Software Engineer,Master's,1,95469,4,74.13,Yes,3,6,No
E1109,23,Male,Finance,HR Executive,PhD,8,29926,1,65.32,Yes,2,9,No
E1110,21,Female,Sales,HR Executive,PhD,9,116299,3,87.69,No,1,2,No
E1111,25,Female,IT,HR Executive,Master's,10,28969,1,82.89,No,5,8,Yes
E1112,46,Male,IT,Financial Analyst,High School,13,60733,4,80.59,No,2,9,No
E1113,34,Male,Operations,Marketing Specialist,PhD,6,94855,5,98.84,No,2,3,No
E1114,59,Male,Sales,Operations Manager,PhD,14,66743,5,84.99,Yes,4,1,No
E1115,47,Male,Sales,Sales Executive,Bachelor's,18,64876,4,95.22,No,1,9,Yes
E1116,29,Male,IT,Operations Manager,PhD,14,132445,2,69.88,Yes,4,4,Yes
E1117,35,Male,Finance,Sales Executive,Master's,7,45323,2,84.92,No,4,1,No
E1118,35,Female,Marketing,Financial Analyst,Bachelor's,10,41428,5,95.38,No,3,13,Yes
E1119,46,Male,Marketing,HR Executive,High School,8,59578,5,85.41,No,5,9,Yes
E1120,33,Female,Sales,Financial Analyst,Bachelor's,14,111486,4,90.13,No,2,15,No
E1121,52,Female,Marketing,Financial Analyst,Master's,0,133577,2,78.02,Yes,1,5,No
E1122,59,Male,IT,Software Engineer,Master's,0,89140,5,68.24,No,5,10,No
E1123,52,Female,IT,Marketing Specialist,Bachelor's,18,132325,2,81.03,No,5,9,Yes
E1124,24,Female,Sales,Sales Executive,High School,2,108829,5,78.81,No,1,0,Yes
E1125,50,Female,Sales,HR Executive,Bachelor's,9,31364,1,95.35,No,5,13,No
E1126,57,Female,Operations,Sales Executive,High School,7,60349,3,73.54,No,3,5,No
E1127,43,Female,Sales,Operations Manager,Bachelor's,14,25691,1,98.84,No,5,3,Yes
E1128,59,Female,Finance,Sales Executive,Master's,9,120598,5,98.53,Yes,3,2,No
E1129,35,Male,Marketing,Operations Manager,PhD,0,91467,3,73.67,No,2,1,No
E1130,49,Female,Sales,Marketing Specialist,PhD,17,70896,3,77.18,Yes,2,6,No
E1131,56,Female,HR,Operations Manager,High School,1,82062,5,96.34,No,4,8,No
E1132,33,Female,Operations,Sales Executive,High School,18,122266,5,98.83,No,3,11,No
E1133,52,Male,HR,Sales Executive,High School,12,104762,2,80.52,No,2,2,No
E1134,27,Female,IT,Operations Manager,Master's,0,38861,5,76.23,No,5,15,No
E1135,42,Male,Marketing,Financial Analyst,Bachelor's,1,121837,4,83.41,No,1,5,No
E1136,48,Female,Sales,Marketing Specialist,Master's,15,138779,5,89.07,Yes,1,8,No
E1137,22,Male,HR,Software Engineer,PhD,14,113302,4,74.57,No,3,15,No
E1138,26,Male,Marketing,HR Executive,High School,12,126710,5,90.78,No,4,1,No
E1139,48,Female,IT,Sales Executive,Bachelor's,15,88928,2,66.81,No,5,6,No
E1140,48,Female,Finance,HR Executive,PhD,16,131643,4,66.73,Yes,3,4,Yes
E1141,40,Male,Operations,Software Engineer,PhD,20,140720,1,78.52,No,1,4,No
E1142,50,Female,Marketing,HR Executive,PhD,6,108231,4,77.37,No,3,10,Yes
E1143,31,Male,Marketing,Software Engineer,Master's,16,66347,2,76.05,No,5,6,No
E1144,48,Male,Finance,Operations Manager,High School,6,28121,4,82.19,No,2,8,Yes
E1145,45,Male,Marketing,Financial Analyst,PhD,12,108793,5,76.23,No,5,3,No
E1146,59,Male,IT,Sales Executive,High School,4,53164,5,71.73,No,2,8,Yes
E1147,53,Male,IT,Software Engineer,Master's,16,50491,2,75.83,No,2,14,No
E1148,21,Female,Finance,HR Executive,PhD,2,84222,3,99.12,Yes,2,15,No
E1149,47,Male,Operations,Sales Executive,Master's,6,48165,5,79.39,Yes,3,13,No
E1150,33,Male,Sales,Financial Analyst,Master's,16,139250,1,80.56,No,1,12,No
E1151,23,Female,HR,Operations Manager,High School,6,28748,2,85.18,Yes,3,10,No
E1152,59,Male,Sales,Sales Executive,PhD,20,123581,4,99.42,No,1,9,No
E1153,26,Female,Marketing,Software Engineer,Master's,0,51553,4,73.46,No,5,8,No
E1154,28,Female,HR,Financial Analyst,PhD,16,141547,1,88.84,Yes,4,12,No
E1155,47,Female,Finance,HR Executive,High School,16,85380,5,90.06,No,5,3,No
E1156,29,Male,Finance,Financial Analyst,Master's,10,69331,2,86.26,No,3,2,No
E1157,57,Male,Operations,Financial Analyst,High School,2,121033,1,68.1,No,3,1,No
E1158,53,Male,HR,Marketing Specialist,PhD,14,121844,5,88.69,No,1,8,No
E1159,44,Female,IT,Financial Analyst,PhD,20,145617,2,67.24,No,3,11,No
E1160,35,Male,HR,Financial Analyst,High School,10,64560,4,85.86,No,2,1,No
E1161,52,Female,Marketing,Sales Executive,Bachelor's,15,78865,2,90.89,No,3,5,No
E1162,52,Male,IT,HR Executive,Master's,8,71686,3,72.38,No,1,4,No
E1163,44,Female,Finance,Sales Executive,PhD,0,100910,2,94.46,Yes,1,13,No
E1164,32,Male,HR,Sales Executive,PhD,15,29675,3,66.06,Yes,2,4,No
E1165,59,Male,Sales,Software Engineer,Master's,8,91706,2,94.53,No,1,3,Yes
E1166,22,Male,Operations,Sales Executive,High School,18,131985,3,81.11,Yes,4,15,Yes
E1167,23,Female,Sales,Marketing Specialist,High School,11,134021,4,72.62,Yes,5,5,No
E1168,57,Female,Operations,Marketing Specialist,High School,18,149062,5,69.68,No,3,4,No
E1169,37,Male,Marketing,Software Engineer,Bachelor's,8,102986,3,98.37,Yes,4,10,No
E1170,22,Male,Sales,Operations Manager,Bachelor's,6,101216,3,67.54,No,3,3,No
E1171,22,Female,HR,HR Executive,PhD,13,35068,4,71.97,No,4,12,No
E1172,48,Female,HR,HR Executive,High School,18,79460,3,77.17,No,3,8,No
E1173,43,Female,Sales,Sales Executive,Master's,18,125766,1,86.71,No,2,12,No
E1174,57,Male,HR,Sales Executive,PhD,1,71418,4,84.07,Yes,1,5,No
E1175,52,Female,Marketing,Operations Manager,Master's,8,51206,1,69.4,No,1,10,No
E1176,53,Male,IT,Sales Executive,PhD,12,25287,4,75.14,No,2,9,No
E1177,21,Female,Marketing,HR Executive,Bachelor's,14,47337,3,73.36,No,4,15,No
E1178,39,Male,Operations,Financial Analyst,PhD,2,45666,1,72.47,No,5,9,No
E1179,22,Female,Marketing,Marketing Specialist,Bachelor's,10,141595,3,79.39,No,4,12,No
E1180,46,Female,Operations,Financial Analyst,PhD,20,26161,4,89.64,No,1,9,Yes
E1181,52,Female,HR,Financial Analyst,High School,13,139817,3,72.61,Yes,5,12,No
E1182,26,Female,IT,HR Executive,Master's,7,146025,1,77.83,No,3,2,No
E1183,52,Female,HR,Financial Analyst,High School,17,125667,1,78.68,No,5,9,No
E1184,24,Male,Finance,Operations Manager,PhD,18,115071,3,99.18,Yes,4,5,No
E1185,31,Female,HR,Software Engineer,PhD,15,123064,2,98.41,No,2,13,No
E1186,37,Female,Operations,Sales Executive,PhD,1,63751,4,93.0,Yes,3,0,No
E1187,58,Female,HR,Software Engineer,Bachelor's,7,107063,4,73.46,No,4,4,Yes
E1188,44,Male,HR,Marketing Specialist,Master's,5,131511,3,67.38,No,3,9,No
